local_file,s3_uri,size_bytes,sha256_b64,status,encryption
data/staging/batch_id=b_5087cc0e3124/dq_issues.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_5087cc0e3124/dq_issues.parquet,195,CCqgsCTk5e7TCrFqWjM4gs8XtBoAhuxqG2a32Zvf1dg=,UPLOADED,AES256
data/staging/batch_id=b_5087cc0e3124/sales_lines.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_5087cc0e3124/sales_lines.parquet,18971,XqV2yjb9VlwjcevmCjps1OXL6aE6B/cNagFTrPnB8nw=,UPLOADED,AES256
data/staging/batch_id=b_572f616d7757/dq_issues.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_572f616d7757/dq_issues.parquet,195,CCqgsCTk5e7TCrFqWjM4gs8XtBoAhuxqG2a32Zvf1dg=,UPLOADED,AES256
data/staging/batch_id=b_572f616d7757/sales_lines.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_572f616d7757/sales_lines.parquet,12852,cBIo6KwdFi4/LVmyIJJm0pPm5niDS8CDruv+YNO0soA=,UPLOADED,AES256
data/staging/batch_id=b_d84b6a3ce025/dq_issues.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_d84b6a3ce025/dq_issues.parquet,195,CCqgsCTk5e7TCrFqWjM4gs8XtBoAhuxqG2a32Zvf1dg=,UPLOADED,AES256
data/staging/batch_id=b_d84b6a3ce025/sales_lines.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_d84b6a3ce025/sales_lines.parquet,13044,Xh0vtuQNj1aauHwEgkbD9i3/Ltg9TZ7ooYW29hDiF9I=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211139Z-ae5953/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211139Z-ae5953/dim_product.parquet,6188,xLh6AR45xhJtkWcS55R6nPYaL1Gop5GWHXagTdMLi2c=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211139Z-ae5953/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211139Z-ae5953/fact_monthly_sales.parquet,7272,/95ERKcw/QMCtRHKJOtuwjMkvLhOWwI5juMKIIf/1Hw=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211139Z-ae5953/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211139Z-ae5953/report_totals.parquet,1285,ln2IZWnCxM2QTZBTHhHwYoTMzfCL9vraJvldCA5UOWc=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211140Z-9f4a65/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211140Z-9f4a65/dim_product.parquet,4176,ttRSPEMRbbMLzjXDRvAWDQiwJwz35OiFBEv9bdY/X/k=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211140Z-9f4a65/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211140Z-9f4a65/fact_monthly_sales.parquet,4443,IqcYNBGzX/hKXVd8OWHBKDDocv+8rj+cszxdbWcJbNg=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211140Z-9f4a65/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211140Z-9f4a65/report_totals.parquet,1285,PI6gnfG1zX3ktdATYom2I7EfhXgxZV00eUecBMQTYkg=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211141Z-e3eed6/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211141Z-e3eed6/dim_product.parquet,4446,koh31mQdpI6+Dix8hZ8NqUzSGcV/LpcFVq9HY76Qadc=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211141Z-e3eed6/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211141Z-e3eed6/fact_monthly_sales.parquet,5163,ictfK+ynum6jzEY1eUxGDKSqrgqGL+GXK0vcHTMZA2c=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211141Z-e3eed6/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211141Z-e3eed6/report_totals.parquet,1285,5M8ukpa7rHW8konk7Ot0RpdI/CQmzYMDSFH4/+Ss/7Y=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211142Z-b89f57/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211142Z-b89f57/dim_product.parquet,4438,thjwnOPlIURwzA9MFgjYcnVW/rGEf9/pcNuAuq8LFNY=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211142Z-b89f57/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211142Z-b89f57/fact_monthly_sales.parquet,5083,0OYgnG+lhWDOpoz+Jkd4ihzGk8Zh47QzcsHdV/IRdlM=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T211142Z-b89f57/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T211142Z-b89f57/report_totals.parquet,1285,bKxUay3b/bLe3QDLXq+LF/MAxzQCBffPOL7CfbpJFVs=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231319Z-8381c2/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231319Z-8381c2/dim_product.parquet,6098,oDdSjc2uCru/mVlUE4IUSrIBlLcwJneKsk2tJlTUqh0=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231319Z-8381c2/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231319Z-8381c2/fact_monthly_sales.parquet,7272,wCksh6T9i2ptTDk/mzb1HygDWIfx6O4RKUJmz+VhaPQ=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231319Z-8381c2/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231319Z-8381c2/report_totals.parquet,1285,XEPCYGMou1gl8/DEQT5S41HEjB5dsSiH//b/EzBXN/Y=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231320Z-8fce5d/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231320Z-8fce5d/dim_product.parquet,4448,bvFuA0Yu/EAHK/fkDJ0nR5LRG7u9yX3slhsQDkOtffs=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231320Z-8fce5d/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231320Z-8fce5d/fact_monthly_sales.parquet,5163,29mSaIQrAPTlRbk9yxYxA+Wm2JA3qKqaEn8DRvZj7S8=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231320Z-8fce5d/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231320Z-8fce5d/report_totals.parquet,1285,d23rmahEITHdUauOczROpHyMwvGfSYTg6sxUMKmQP2A=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231320Z-a5b1fb/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231320Z-a5b1fb/dim_product.parquet,4189,DSWwhlPda044d/0z58RRf4BgNn4i2A0Wnv3Lmhudy+o=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231320Z-a5b1fb/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231320Z-a5b1fb/fact_monthly_sales.parquet,4443,1mY7vl8tMSB42YWpemZG5fTSUEuDXRcceM4EIviyIxU=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231320Z-a5b1fb/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231320Z-a5b1fb/report_totals.parquet,1285,C0g5SNCeddPd3RBOv3OQ4Ea1QRi+GJwHP2HBCsduuYs=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231321Z-87f213/dim_product.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231321Z-87f213/dim_product.parquet,4478,VVgnf1NIhjzxyV+ysQhBn8fVqsHFwexRSvmC7s/c7c0=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231321Z-87f213/fact_monthly_sales.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231321Z-87f213/fact_monthly_sales.parquet,5083,f4Pf2CAbDGPMXDUUf9MJPZULTk6BrRHWX4cxQycgEkw=,UPLOADED,AES256
data/mart/candidate/run_id=20260924T231321Z-87f213/report_totals.parquet,s3://dsc-datathon-storage/mart/monthly_sales/candidate/run_id=20260924T231321Z-87f213/report_totals.parquet,1285,QK1xfX2wkm8dfYJURPqTmmhN+klhjFFrBUKV1YC4xLs=,UPLOADED,AES256
