"raw_col_1","raw_col_2","raw_col_3","raw_col_4","raw_col_5","raw_col_6","raw_col_7","source_row_id","ingest_row_id"
"[SKU1090] [Tasman Vitality]Eye Health Lutein 30s","1","1","47.07","1","1","47.07",61,61
"[SKU1014] [Solwave]Calcium + Vitamin D 120s","2","3","127.84","2","3","127.84",62,62
"[SKU1159] [Two Rivers]Skim Milk Powder (1000g){15-Day Express}","2","4","351.04","2","4","351.04",63,63
"[SKU1065] [Baycrest]Propolis Extract 60s","2","11","349.56","2","11","349.56",64,64
"[EWALLET001] [TOPUP]E-Wallet Payment","5","0","-23.11","5","0","-23.11",65,65
"[SKU1308] [Harbour Wool]Plush Kiwi Toy (25cm)","2","10","235.79","2","10","235.79",66,66
"[SKU1351] [Rata Confection]Dark Chocolate Block 85% (180g)","2","16","198.22","2","16","198.22",67,67
"[SKU1160] [Fernvale]Whole Milk Powder (1000g){Express Freight}","2","6","227.66","2","6","227.66",68,68
"[SKU1259] [Tui Botanicals]Night Repair Serum (50ml)","1","1","26.65","1","1","26.65",69,69
"[SKU1026] [Northlight]Liver Support Complex 90s","2","7","253.14","2","7","253.14",70,70
"[SKU1314] [Harbour Wool]Plush Kiwi Toy (25cm)","2","3","121.91","2","3","121.91",71,71
"[SKU1245] [Silverfern]Propolis Toothpaste (100g)","1","8","212.81","1","8","212.81",72,72
"[SKU1081] [Puriri Health]Omega 3 Fish Oil 1000mg","2","5","155.84","2","5","155.84",73,73
"[SKU1325] [Piko Gifts]Sheepskin Slippers","1","5","205.18","1","5","205.18",74,74
"[SKU1347] [Rata Confection]Chocolate Gift Pouch (125g)","1","13","92.45","1","13","92.45",75,75
"[SKU1276] [Southern Craft]Wool Throw Blanket",,"15","349.14","1","15","349.14",76,76
"[SKU1032] [Northlight]Propolis Extract 120s","2","5","113.99","2","5","113.99",77,77
"[SKU1302] [Kiwiana Co]Plush Kiwi Toy (25cm)","1","6","272.06","1","6","272.06",78,78
"[SKU1216] [Beechline]Honey Gift Set (250g x4)","2","9","347.57","2","9","347.57",79,79
"[SKU1265] [Southern Craft]Wool Cushion Cover (40cm)","2","8","115","2","8","115",80,80
"[SKU1255] [Cove & Clay]Sheep Placenta Cream (100ml)","1","12","417.45","1","12","417.45",81,81
"[SKU1133] [Clearfield]Digestion Support Milk Powder (800g)","1","3","316.79","1","3","316.79",82,82
"[SKU1147] [Ambervale]Skim Milk Powder (800g){Standard Freight}","2","6","581.54","2","6","581.54",83,83
"[SKU1321] [Piko Gifts]Wool Cushion Cover (45cm)","1","3","113.8","1","3","113.8",84,84
"[SKU1316] [Harbour Wool]Fridge Magnet Set","2","4","38.87","2","4","38.87",85,85
"[SKU1127] [Clearfield]Infant Formula Stage 1 (900g){Express Freight}","1","4","308.48","1","4","308.48",86,86
"[SKU1045] [Vireo Labs]Probiotic Daily 60s","1","10","275.49","1","10","275.49",87,87
"[SKU1089] [Tasman Vitality]Lecithin 1200mg","2","10","432.92","2","10","432.92",88,88
"[SKU1285] [Southern Craft]Souvenir Keyring","1","2","30.65","1","2","30.65",89,89
"[SKU1142] [Ambervale]Digestion Support Milk Powder (800g)","2","9","671.79","2","9","671.79",90,90
"[SKU1170] [Highmoor]Immune Support Milk Powder (900g)","2","INVALID_VALUE","159.1","2","6","159.1",91,91
"[SKU1015] [Solwave]Liver Support Complex 30s","1","3","107.72","1","3","107.72",92,92
"[SKU1018] [Solwave]Multivitamin Adult 120s","1","5","212.28","1","5","212.28",93,93
"[SKU1060] [Baycrest]Probiotic Daily 60s","1","7","353.76","1","7","353.76",94,94
"[SKU1084] [Tasman Vitality]Calcium + Vitamin D 120s","1","5","127.48","1","5","127.48",95,95
"[SKU1334] [Cocoa Bay]Chocolate Gift Pouch (125g)","2","5","37.28","2","5","37.28",96,96
"[SKU1310] [Harbour Wool]Fridge Magnet Set","2","2","18.62","2","2","18.62",97,97
"[SKU1350] [Rata Confection]Chocolate Gift Pouch (180g)","1","7","64.48","1","7","64.48",98,98
"[SKU1233] [Pounamu Skin]Hand Cream (75ml)","2","3","95.56","2","3","95.56",99,99
"[SKU1069] [Baycrest]Calcium + Vitamin D 120s","1","2","90.47","1","2","90.47",100,100
"[SKU1139] [Ambervale]Whole Milk Powder (800g)","2","2","162.75","2","2","162.75",101,101
"[SKU1186] [Manuka Ridge]Manuka Honey UMF 15+ (250g)","1","6","232.85","1","6","232.85",102,102
"[SKU1260] [Tui Botanicals]Facial Cleanser (150ml)","1","2","31.59","1","2","31.59",103,103
"[SKU1140] [Ambervale]Skim Milk Powder (1000g){15-Day Express}","1","9","776.97","1","9","776.97",104,104
"[SKU1126] [Clearfield]Digestion Support Milk Powder (800g){Express Freight}","2","8","191.06","2","8","191.06",105,105
"[SKU1335] [Cocoa Bay]Dark Chocolate Block 70% (180g)","2","4","20.66","2","4","20.66",106,106
"[SKU1079] [Puriri Health]Propolis Extract 60s","1","4","117.55","1","4","117.55",107,107
"[SKU1143] [Ambervale]Infant Formula Stage 1 (900g){Standard Freight}","2","13","601.16","2","13","601.16",108,108
"[SKU1357] [Fernvale]Kids Vitamin C Chewable 60s","2","5","238.11","2","5","238.11",109,109
"[DIS19] Free gift - fish oil","3","2","-247.68","3","2","-247.68",110,110
"[SKU1294] [KIWIANA CO]Wool Throw Blanket","1","7","183.48","1","7","183.48",111,111
"[SKU1087] [Tasman Vitality]Joint Care Glucosamine 90s","2","INVALID_VALUE","292.08","2","8","292.08",112,112
"[SKU1083] [Tasman Vitality]CoQ10 150mg","1","6","271.26","1","6","271.26",113,113
"[SKU1130] [Clearfield]Whole Milk Powder (800g)","1","6","583.1","1","6","583.1",114,114
"[SKU1286] [Southern Craft]Fridge Magnet Set","1","14","428.7","1","14","428.7",115,115
"[SKU1328] [Piko Gifts]Plush Kiwi Toy (15cm)","1","6","130.24","1","6","130.24",116,116
"[SKU1098] [Aroha Nutrition]Joint Care Glucosamine 90s","2","9","479.76","2","9","479.76",117,117
"[SKU1061] [Baycrest]Joint Care Glucosamine 90s","1","12","589.26","1","12","589.26",118,118
"[SKU1031] [Northlight]Eye Health Lutein 30s","1","2","63.61","1","2","63.61",119,119
"[SKU1058] [Baycrest]Calcium + Vitamin D 200s","2","5","90.42","2","5","90.42",120,120
"[SKU1027] [Northlight]Probiotic Daily 60s","2","5","107.64","2","5","107.64",121,121
"[SKU1264] [Tui Botanicals]Lanolin Moisturising Cream (100ml)","2","9","224.57","2","9","224.57",122,122
"[SKU1166] [Fernvale]Goat Milk Powder (800g){Express Freight}","1","11","1191.33","1","11","1191.33",123,123
"[SKU1331] [Piko Gifts]Sheepskin Slippers",,"5","189.07","2","5","189.07",124,124
"[SKU1208] [Hivewood]Honey Gift Set (250g x4)","1","9","561.09","1","9","561.09",125,125
"[SKU1344] [Cocoa Bay]Dark Chocolate Block 70% (180g)","2","6","57.67","2","6","57.67",126,126
"[SKU1275] [Southern Craft]Sheepskin Slippers","1","14","93.83","1","14","93.83",127,127
"[SKU1329] [Piko Gifts]Souvenir Keyring","1","1","8.869999999999999","1","1","8.869999999999999",128,128
"[SKU1164] [Fernvale]Infant Formula Stage 1 (900g){Express Freight}","1","2","47.5","1","2","47.5",129,129
"[SKU1150] [Ambervale]Infant Formula Stage 1 (900g)",,"3","293.72","2","3","293.72",130,130
"[SKU1197] [Golden Vale]Honey Gift Set (250g x4)","1","2","170.93","1","2","170.93",131,131
"[SKU1011] [SOLWAVE]Magnesium Complex 90s","2","2","50.59","2","2","50.59",132,132
"[SKU1247] [Silverfern]Lanolin Moisturising Cream (100ml)","1","18","390.2","1","18","390.2",133,133
"[SKU1230] [Pounamu Skin]Lanolin Moisturising Cream (100ml)","1","16","352.86","1","16","352.86",134,134
"[SKU1348] [Rata Confection]Dark Chocolate Block 85% (250g)","2","6","65.58","2","6","65.58",135,135
"[SKU1281] [Southern Craft]Sheepskin Slippers","1","6","127.38","1","6","127.38",136,136
"[SKU1317] [Harbour Wool]Sheepskin Slippers","2","3","66.11","2","3","66.11",137,137
"[SKU1050] [Vireo Labs]Propolis Extract 120s","2","2","71.73","2","2","71.73",138,138
"[SKU1042] [Vireo Labs]CoQ10 150mg","1","3","123.27","1","3","123.27",139,139
"[SKU1168] [Highmoor]Whole Milk Powder (1000g)","2","8","802.8099999999999","2","8","802.8099999999999",140,140
"[SKU1292] [Kiwiana Co]Fridge Magnet Set","1","4","120.17","1","4","120.17",141,141
"[SKU1136] [Clearfield]Goat Milk Powder (800g){Standard Freight}","2","18","1333.56","2","18","1333.56",142,142
"[SKU1179] [Manuka Ridge]Manuka Honey UMF 5+ (500g)","2","1","108.19","2","1","108.19",143,143
"[SKU1053] [Vireo Labs]CoQ10 150mg","2","5","132.46","2","5","132.46",144,144
"[SKU1194] [Golden Vale]Manuka Honey UMF 10+ (500g)","2","12","717.26","2","12","717.26",145,145
"[SKU1080] [Puriri Health]Magnesium Complex 90s","2","3","102.6","2","3","102.6",146,146
"[SKU1104] [Kowhai Care]Calcium + Vitamin D 200s","2","5","143.21","2","5","143.21",147,147
"[SKU1035] [Northlight]CoQ10 100mg",,"6","98.59999999999999","1","6","98.59999999999999",148,148
"[SKU1106] [Kowhai Care]Probiotic Daily 30s","1","4","78.8","1","4","78.8",149,149
"[SKU1093] [Aroha Nutrition]Omega 3 Fish Oil 500mg","2","16","442.3","2","16","442.3",150,150
"[SKU1299] [Kiwiana Co]Sheepskin Slippers","2","9","151.47","2","9","151.47",151,151
"[SKU1206] [Hivewood]Manuka Honey UMF 15+ (250g)","2","5","160.39","2","5","160.39",152,152
"[SKU1212] [Beechline]Manuka Honey UMF 5+ (500g)","1","9","782.79","1","9","782.79",153,153
"[SKU1213] [Beechline]Manuka Honey UMF 10+ (500g)","2","8","878.3200000000001","2","8","878.3200000000001",154,154
"[SKU1137] [Clearfield]Whole Milk Powder (800g){Standard Freight}",,"6","368.34","1","6","368.34",155,155
"[SKU1282] [Southern Craft]Wool Throw Blanket","2","2","21.9","2","2","21.9",156,156
"[SKU1123] [Clearfield]Whole Milk Powder (1000g){Express Freight}","1","4","166.61","1","4","166.61",157,157
"[SKU1016] [SOLWAVE]Probiotic Daily 30s","2","3","145.34","2","3","145.34",158,158
"[SKU1221] [Lanolux]Propolis Toothpaste (100g)","2","17","146.62","2","17","146.62",159,159
"[SKU1201] [Golden Vale]Clover Honey (500g)","1","10","577.0700000000001","1","10","577.0700000000001",160,160
"[SKU1008] [SOLWAVE]Lecithin 1200mg","1","3","106.48","1","3","106.48",161,161
"[SKU1135] [Clearfield]Infant Formula Stage 2 (900g){Standard Freight}","1","5","157.44","1","5","157.44",162,162
"[SKU1346] [Rata Confection]Milk Chocolate Block (250g)","1","9","151.42","1","9","151.42",163,163
"[SKU1153] [Two Rivers]Immune Support Milk Powder (900g)","2","2","195.45","2","2","195.45",164,164
"[SKU1021] [Solwave]Propolis Extract 120s","2","16","609.99","2","16","609.99",165,165
"[SKU1062] [Baycrest]Multivitamin Adult 120s","2","5","192.47","2","5","192.47",166,166
"[SKU1122] [Halcyon]Joint Care Glucosamine 180s","2","INVALID_VALUE","577.78","2","19","577.78",167,167
"[SKU1227] [Lanolux]Propolis Toothpaste (100g)","2","8","65.77","2","8","65.77",168,168
"[SKU1289] [KIWIANA CO]Wool Cushion Cover (45cm)","1","6","223.61","1","6","223.61",169,169
"[SKU1240] [Pounamu Skin]Propolis Toothpaste (100g)","1","4","107.02","1","4","107.02",170,170
"[SKU1066] [Baycrest]Magnesium Complex 90s","2","3","122.68","2","3","122.68",171,171
"[SKU1184] [Manuka Ridge]Manuka Honey UMF 5+ (500g)","1","8","445.25","1","8","445.25",172,172
"[SKU1343] [Cocoa Bay]Chocolate Gift Pouch (125g)","1","14","196.25","1","14","196.25",173,173
"[SKU1253] [Cove & Clay]Hand Cream (50ml)","2","1","24.63","2","1","24.63",174,174
"[SKU1110] [Riverstone Bio]Omega 3 Fish Oil 1000mg","2","8","334","2","8","334",175,175
"[SKU1228] [Lanolux]Sheep Placenta Cream (100ml)","1","10","92.68000000000001","1","10","92.68000000000001",176,176
"[SKU1005] [SOLWAVE]Probiotic Daily 30s","2","4","175.2","2","4","175.2",177,177
"[SKU1336] [Cocoa Bay]Milk Chocolate Block (250g)","2","4","29.43","2","4","29.43",178,178
"[SKU1073] [Puriri Health]Liver Support Complex 60s","1","3","108.8","1","3","108.8",179,179
"[FREEGIFT] In-store gift","5","7","-33.11","5","7","-33.11",180,180
"[SKU1266] [Southern Craft]Plush Kiwi Toy (15cm)","2","4","173.29","2","4","173.29",181,181
"[SKU1305] [KIWIANA CO]Sheepskin Slippers","2","2","11.86","2","2","11.86",182,182
"[SKU1291] [Kiwiana Co]Souvenir Keyring","1","15","408.93","1","15","408.93",183,183
"[SKU1272] [Southern Craft]Plush Kiwi Toy (15cm)","1","10","79.31","1","10","79.31",184,184
"[SKU1352] [Rata Confection]Milk Chocolate Block (180g)","2","12","209.62","2","12","209.62",185,185
"[SKU1223] [Lanolux]Lanolin Moisturising Cream (100ml)","2","10","262.11","2","10","262.11",186,186
"[SKU1349] [Rata Confection]Milk Chocolate Block (250g)","1","15","76.5","1","15","76.5",187,187
"[SKU1297] [Kiwiana Co]Souvenir Keyring","2","10","355.44","2","10","355.44",188,188
"[SKU1138] [Clearfield]Skim Milk Powder (1000g)","1","5","343.95","1","5","343.95",189,189
"[SKU1120] [Halcyon]Liver Support Complex 90s","2","5","83.72","2","5","83.72",190,190
"[SKU1102] [Kowhai Care]Omega 3 Fish Oil 1500mg","2","7","147.05","2","7","147.05",191,191
"[SKU1211] [Hivewood]Manuka Honey UMF 15+ (250g)","2","9","370.27","2","9","370.27",192,192
"[SKU1322] [Piko Gifts]Plush Kiwi Toy (15cm)","2","7","301.48","2","7","301.48",193,193
"[SKU1293] [KIWIANA CO]Sheepskin Slippers","1","1","19.11","1","1","19.11",194,194
"[SKU1108] [Kowhai Care]Multivitamin Adult 60s","1","6","168.09","1","6","168.09",195,195
"[SKU1163] [Fernvale]Digestion Support Milk Powder (800g)","1","4","280.48","1","4","280.48",196,196
"[SKU1191] [Manuka Ridge]Manuka Honey UMF 15+ (250g)","1","11","956.11","1","11","956.11",197,197
"[SKU1340] [Cocoa Bay]Chocolate Gift Pouch (125g)","2","8","66.43000000000001","2","8","66.43000000000001",198,198
"[SKU1209] [Hivewood]Manuka Honey UMF 5+ (250g)","1","6","170.15","1","6","170.15",199,199
"[SKU1119] [Halcyon]Calcium + Vitamin D 60s","2","5","272.18","2","5","272.18",200,200
"[SKU1341] [Cocoa Bay]Dark Chocolate Block 70% (250g)","1","5","41.73","1","5","41.73",201,201
"[SKU1044] [Vireo Labs]Liver Support Complex 30s","1","6","143.53","1","6","143.53",202,202
"[SKU1280] [Southern Craft]Fridge Magnet Set","2","10","185.64","2","10","185.64",203,203
"[SKU1121] [Halcyon]Probiotic Daily 30s","2","5","264.16","2","5","264.16",204,204
"[SKU1068] [Baycrest]CoQ10 150mg","2","2","108.07","2","2","108.07",205,205
"[SKU1237] [Pounamu Skin]Night Repair Serum (50ml)","1","4","82.51000000000001","1","4","82.51000000000001",206,206
"[SKU1162] [Fernvale]Immune Support Milk Powder (900g)","2","7","269.36","2","7","269.36",207,207
"[SKU1254] [Cove & Clay]Propolis Toothpaste (100g)","1","4","72.63","1","4","72.63",208,208
"[SKU1342] [Cocoa Bay]Milk Chocolate Block (250g)","1","6","30.21","1","6","30.21",209,209
"[SKU1155] [Two Rivers]Infant Formula Stage 1 (900g){Express Freight}","1","10","295.4","1","10","295.4",210,210
"[SKU1241] [Silverfern]Lanolin Moisturising Cream (150ml)","2","16","182.75","2","16","182.75",211,211
"[SKU1029] [Northlight]Multivitamin Adult 60s","1","7","189.27","1","7","189.27",212,212
"[SKU1012] [Solwave]Omega 3 Fish Oil 1000mg","2","15","722.04","2","15","722.04",213,213
"[SKU1309] [Harbour Wool]Souvenir Keyring","1","4","29.11","1","4","29.11",214,214
"[SKU1043] [Vireo Labs]Calcium + Vitamin D 60s","2","6","241.97","2","6","241.97",215,215
"[SKU1358] [Fernvale]Kids Vitamin C Chewable 90s","1","13","330.38","1","13","330.38",216,216
"[SKU1030] [Northlight]Lecithin 1200mg","2","2","38.14","2","2","38.14",217,217
"[SKU1250] [Cove & Clay]Lanolin Moisturising Cream (150ml)","1","3","89.45","1","3","89.45",218,218
"[SKU1002] [SOLWAVE]CoQ10 100mg","2","9","316.41","2","9","316.41",219,219
"[SKU1219] [Lanolux]Facial Cleanser (150ml)","1","1","49.06","1","1","49.06",220,220
"[SKU1188] [Manuka Ridge]Honey Gift Set (250g x4)","1","3","214.45","1","3","214.45",221,221
"[SKU1210] [Hivewood]Manuka Honey UMF 10+ (250g)","1","4","275.16","1","4","275.16",222,222
"[SKU1088] [Tasman Vitality]Multivitamin Adult 120s","2","5","126.63","2","5","126.63",223,223
"[SKU1189] [Manuka Ridge]Manuka Honey UMF 5+ (250g)","2","6","520.4400000000001","2","6","520.4400000000001",224,224
"[SKU1075] [Puriri Health]Joint Care Glucosamine 90s","1","5","228.32","1","5","228.32",225,225
"[SKU1076] [Puriri Health]Multivitamin Adult 120s","1","4","159.48","1","4","159.48",226,226
"[SKU1195] [Golden Vale]Manuka Honey UMF 15+ (250g)","2","2","92.61","2","2","92.61",227,227
"[SKU1094] [Aroha Nutrition]CoQ10 150mg","1","3","123.36","1","3","123.36",228,228
"[SKU1028] [Northlight]Joint Care Glucosamine 180s","1","5","190.3","1","5","190.3",229,229
"[SKU1149] [Ambervale]Digestion Support Milk Powder (800g){15-Day Express}",,"12","926.0599999999999","1","12","926.0599999999999",230,230
"[SKU1025] [Northlight]Calcium + Vitamin D 120s","1","2","56","1","2","56",231,231
"[SKU1157] [Two Rivers]Goat Milk Powder (800g){15-Day Express}","2","14","1500.75","2","14","1500.75",232,232
"[SKU1144] [Ambervale]Infant Formula Stage 2 (900g)","2","3","124.89","2","3","124.89",233,233
"[SKU1091] [Tasman Vitality]Propolis Extract 60s","1","10","523.84","1","10","523.84",234,234
"[SKU1006] [Solwave]Joint Care Glucosamine 180s","2","6","247.8","2","6","247.8",235,235
"[SKU1274] [Southern Craft]Fridge Magnet Set","1","11","112.02","1","11","112.02",236,236
"[SKU1295] [Kiwiana Co]Wool Cushion Cover (40cm)","1","10","451.36","1","10","451.36",237,237
"[SKU1158] [Two Rivers]Whole Milk Powder (1000g)","1","6","414.07","1","6","414.07",238,238
"[SKU1318] [Harbour Wool]Wool Throw Blanket","2","7","205.07","2","7","205.07",239,239
"[SKU1071] [Puriri Health]CoQ10 150mg","2","6","142.01","2","6","142.01",240,240
"[SKU1198] [Golden Vale]Manuka Honey UMF 5+ (250g)","2","9","812.78","2","9","812.78",241,241
"[SKU1148] [Ambervale]Immune Support Milk Powder (900g){15-Day Express}","2","2","168.84","2","2","168.84",242,242
"[SKU1303] [Kiwiana Co]Souvenir Keyring","2","4","102.8","2","4","102.8",243,243
"[SKU1202] [Golden Vale]Honey Gift Set (250g x4)","2","2","76.84999999999999","2","2","76.84999999999999",244,244
"[SKU1248] [Silverfern]Night Repair Serum (30ml)","1","4","133.42","1","4","133.42",245,245
"[SKU1059] [Baycrest]Liver Support Complex 30s","1","4","146.54","1","4","146.54",246,246
"[SKU1146] [Ambervale]Whole Milk Powder (800g){Express Freight}","1","6","351.84","1","6","351.84",247,247
"[SKU1116] [Riverstone Bio]Multivitamin Adult 120s","1","6","137.76","1","6","137.76",248,248
"[SKU1052] [Vireo Labs]Omega 3 Fish Oil 1500mg","2","15","549.4400000000001","2","15","549.4400000000001",249,249
"[SKU1124] [Clearfield]Skim Milk Powder (800g)","1","13","830.36","1","13","830.36",250,250
"[SKU1114] [Riverstone Bio]Probiotic Daily 30s","1","5","124.47","1","5","124.47",251,251
"[SKU1128] [Clearfield]Infant Formula Stage 2 (900g)","1","12","544.89","1","12","544.89",252,252
"[SKU1054] [Vireo Labs]Calcium + Vitamin D 60s","1","8","169.33","1","8","169.33",253,253
"[SKU1100] [Aroha Nutrition]Lecithin 1200mg","2","10","171.17","2","10","171.17",254,254
"[SKU1333] [Cocoa Bay]Milk Chocolate Block (250g)","1","5","23.14","1","5","23.14",255,255
"[SKU1203] [Golden Vale]Manuka Honey UMF 5+ (250g)","2","4","234.25","2","4","234.25",256,256
"[SKU1132] [Clearfield]Immune Support Milk Powder (900g)","1","11","533.7","1","11","533.7",257,257
"[SKU1235] [Pounamu Skin]Sheep Placenta Cream (100ml)","2","3","115.84","2","3","115.84",258,258
"[SKU1324] [Piko Gifts]Fridge Magnet Set","1","7","237.52","1","7","237.52",259,259
"[SKU1049] [Vireo Labs]Eye Health Lutein 30s","1","11","265.51","1","11","265.51",260,260
"[IFFSHIP07] [Freight]Overseas $8","1","7","1534","1","7","1534",261,261
"[SKU1220] [Lanolux]Hand Cream (75ml)","1","3","122.09","1","3","122.09",262,262
"[SKU1312] [Harbour Wool]Wool Throw Blanket","1","11","488.99","1","11","488.99",263,263
"[SKU1238] [Pounamu Skin]Facial Cleanser (100ml)","2","7","180.09","2","7","180.09",264,264
"[SKU1034] [Northlight]Omega 3 Fish Oil 1500mg","2","2","45.78","2","2","45.78",265,265
"[SKU1353] [Rata Confection]Chocolate Gift Pouch (180g)","2","6","64.73","2","6","64.73",266,266
"[SKU1103] [Kowhai Care]CoQ10 150mg","2","5","267.53","2","5","267.53",267,267
"[SKU1187] [Manuka Ridge]Clover Honey (500g)","1","6","462.49","1","6","462.49",268,268
